Wyniki estymacji parametrow modelu z dwoma efektami  stalymi (w tym V(b^))
"";"OcenaParametru";"BladOceny";"|ocena/blad|";"Pr(>|t_emp|)  ";"XPrzecietne miesieczne wynagrodzenia brutto";"XMieszkania oddane do użytkowania przeznaczone na sprzedaz lub wynajem";"XGestosc zaludnienia powierzchni zabudowanej i zurbanizowanej (osoby/km2)";"XProdukt krajowy brutto na 10 mieszkancow wojewodztwa";"XNowo utworzone miejsca pracy";"XNaklady inwestycyjne na 1 mieszkanca w cenach biezacych";"XPrzecietne miesieczne wydatki na 1 mieszkanca"
"XPrzecietne miesieczne wynagrodzenia brutto";0,395565979808762;0,144673534435083;2,73419724867686;0,00685103466784409;0,0209304315659393;0,00021323533024963;0,00552969609242644;-0,00314780132808522;7,01279980645418e-05;0,000429030690054908;0,00106033985956886
"XMieszkania oddane do użytkowania przeznaczone na sprzedaz lub wynajem";0,0275491610946683;0,012386013679787;2,22421529693823;0,0273240006716842;0,00021323533024963;0,00015341333487587;0,000957502296958489;-0,000245898227809153;3,09250900033914e-06;2,96297557158059e-05;3,0197356842939e-05
"XGestosc zaludnienia powierzchni zabudowanej i zurbanizowanej (osoby/km2)";-0,775508127209846;0,277275553115283;2,79688605250897;0,00569641072919314;0,00552969609242644;0,000957502296958489;0,0768817323553863;0,00728524973056998;0,00046025162282316;-0,00260331818109877;-0,000717702156679893
"XProdukt krajowy brutto na 10 mieszkancow wojewodztwa";-0,563450240981372;0,14627486593356;3,85199629058146;0,000160594203080175;-0,00314780132808522;-0,000245898227809153;0,00728524973056998;0,0213963364038808;-0,000132262049763886;-0,00110545706381637;0,00202275050428048
"XNowo utworzone miejsca pracy";-0,0109952555922119;0,0128004809876316;0,858972065411919;0,391449821244849;7,01279980645418e-05;3,09250900033914e-06;0,00046025162282316;-0,000132262049763886;0,000163852313514719;-7,85802257334024e-05;-6,50813519397432e-05
"XNaklady inwestycyjne na 1 mieszkanca w cenach biezacych";0,0258336261850031;0,0310402402278101;0,832262443699059;0,406316766306084;0,000429030690054908;2,96297557158059e-05;-0,00260331818109877;-0,00110545706381637;-7,85802257334024e-05;0,000963496513400162;0,000375474059369514
"XPrzecietne miesieczne wydatki na 1 mieszkanca";0,115511380167516;0,0839342800879364;1,3762121989549;0,170392983956242;0,00106033985956886;3,0197356842939e-05;-0,000717702156679893;0,00202275050428048;-6,50813519397432e-05;0,000375474059369514;0,00704496337388016
 
Nr_firmy Efekty(alfa_i) oraz kontrasty(odchylenia od beta0) =
"";"Efekty_indywidualne";"Kontrasty"
"DOLNOŚLĄSKIE";1,69470272243342;-0,0907907540940609
"KUJAWSKO-POMORSKIE";1,86159893621362;0,0761054596861352
"LUBELSKIE";1,78580342980649;0,000309953279005404
"LUBUSKIE";1,7967293357111;0,0112358591836206
"ŁÓDZKIE";1,67960136636699;-0,105892110160489
"MAŁOPOLSKIE";1,70257791864817;-0,0829155578793073
"MAZOWIECKIE";1,82065263231799;0,0351591557905111
"OPOLSKIE";1,79711915454152;0,0116256780140389
"PODKARPACKIE";1,87091891589413;0,0854254393666485
"PODLASKIE";1,80685991455677;0,0213664380292891
"POMORSKIE";1,83129057471316;0,0457970981856788
"ŚLĄSKIE";1,70497176404896;-0,0805217124785218
"ŚWIĘTOKRZYSKIE";1,93074717188109;0,145253695353611
"WARMIŃSKO-MAZURSKIE";1,80699722963857;0,0215037531110844
"WIELKOPOLSKIE";1,70075697156321;-0,0847365049642714
"ZACHODNIOPOMORSKIE";1,77656758610451;-0,00892589042297121
 
Nr_okresu Efekty(lambda_t) oraz kontrasty(odchylenia od beta0) =
"";"Efekty_czasowe";"Kontrasty"
"1";1,69470272243342;-0,141518738770663
"2";1,72835670526861;-0,107864755935477
"3";1,69953216495905;-0,136689296245029
"4";1,67642453799383;-0,159796923210256
"5";1,68050269493264;-0,155718766271445
"6";1,70136678951106;-0,134854671693026
"7";1,69444622160895;-0,141775239595131
"8";1,72566601516238;-0,110555446041706
"9";1,76286140709083;-0,0733600541132513
"10";1,79905093145329;-0,03717052975079
"11";1,9043371668211;0,0681157056170139
"12";2,06807698225363;0,231855521049547
"13";2,21832731988734;0,382105858683255
"14";2,35344879748104;0,517227336276961
