Wyniki estymacji parametrow modelu z dwoma efektami  stalymi (w tym V(b^))
"";"OcenaParametru";"BladOceny";"|ocena/blad|";"Pr(>|t_emp|)  ";"Xliczba_egzekucji";"Xstopa_bezrobocie"
"Xliczba_egzekucji";-0,0333104834564739;0,177466083574541;0,18770056106232;0,85149947943722;0,0314942108192858;-0,00441088008179019
"Xstopa_bezrobocie";0,220207425860914;0,297146072146134;0,741074664963492;0,460420250322858;-0,00441088008179019;0,0882957881918754
 
Nr_firmy Efekty(alfa_i) oraz kontrasty(odchylenia od beta0) =
"";"Efekty_indywidualne";"Kontrasty"
"Alabama";8,21833933730723;2,51489488773306
"Alaska";5,91685329935283;0,213408849778659
"Arizona";5,57468926165696;-0,128755187917218
"Arkansas";6,76221742597138;1,05877297639721
"Connecticut";2,85071858883925;-2,85272586073493
"Dakota Południowa";0,000705197338452868;-5,70273925223572
"Dakota Północna";-0,831073548409905;-6,53451799798408
"Delaware";2,94232892687707;-2,76111552269711
"Dystrykt Kolumbii";61,503122952972;55,7996785033978
"Floryda";8,14895441923781;2,44550996966363
"Georgia";9,50356350961767;3,80011906004349
"Hawaje";2,31452252434725;-3,38892192522692
"Idaho";0,346559999235813;-5,35688445033836
"Illinois";7,36581727642015;1,66237282684597
"Indiana";4,10386400538686;-1,59958044418732
"Iowa";0,00165534601503503;-5,70178910355914
"Kalifornia";9,72428052750952;4,02083607793534
"Kansas";2,31383110481087;-3,3896133447633
"Karolina Południowa";7,46138497404911;1,75794052447494
"Karolina Północna";7,66339952078657;1,9599550712124
"Kentucky";4,90623212814197;-0,797212321432203
"Kolorado";2,99215607199297;-2,7112883775812
"Luizjana";13,4703940585471;7,76694960897291
"Maine";-0,049121947777452;-5,75256639735163
"Maryland";8,44558700068237;2,74214255110819
"Massachusetts";1,31213548484001;-4,39130896473417
"Michigan";8,29794173193669;2,59449728236252
"Minnesota";1,09526524716292;-4,60817920241126
"Missisipi";9,64114683206187;3,9377023824877
"Missouri";7,29491953739473;1,59147508782056
"Montana";1,70346866274021;-3,99997578683396
"Nebraska";0,60769973509896;-5,09574471447521
"Nevada";7,10070519733845;1,39726074776428
"New Hampshire";0,249646324528903;-5,45379812504527
"New Jersey";3,09034275526779;-2,61310169430638
"Nowy Jork";10,53127506527;4,82783061569585
"Nowy Meksyk";6,64593271045056;0,942488260876386
"Ohio";3,48662914118945;-2,21681530838472
"Oklahoma";5,54535112141903;-0,158093328155148
"Oregon";2,23801087389033;-3,46543357568384
"Pensylwania";3,94511917528042;-1,75832527429376
"Rhode Island";2,13714770584174;-3,56629674373244
"Teksas";10,1893926065912;4,48594815701704
"Tennessee";7,99904325510921;2,29559880553504
"Utah";1,00223693504657;-4,70120751452761
"Vermont";0,746301270095611;-4,95714317947856
"Waszyngton";3,34953207514461;-2,35391237442957
"Wirginia";5,61698991285927;-0,0864545367149008
"Wirginia Zachodnia";2,5125352463661;-3,19090920320807
"Wisconsin";1,95821829975124;-3,74522614982293
"Wyoming";0,927698064698123;-4,77574638487605
 
Nr_okresu Efekty(lambda_t) oraz kontrasty(odchylenia od beta0) =
"";"Efekty_czasowe";"Kontrasty"
"1987";8,21833933730723;-1,09273074255346
"1990";9,8023987271214;0,491328647260712
"1993";9,91247217515344;0,601402095292746
