Date;Close
2017-03-14;1651
2017-03-15;1651
2017-03-16;1651
2017-03-17;1625
2017-03-21;1653
2017-03-22;1597
2017-03-23;1582
2017-03-24;1582
2017-03-27;1580
2017-03-28;1602
2017-03-29;1583
2017-03-30;1539
2017-03-31;1492
2017-04-03;1517
2017-04-04;1493
2017-04-05;1499
2017-04-06;1481
2017-04-07;1478
2017-04-10;1495
2017-04-11;1480
2017-04-12;1455
2017-04-13;1454
2017-04-14;1443
2017-04-17;1446
2017-04-18;1425
2017-04-19;1420
2017-04-20;1404
2017-04-21;1414
2017-04-24;1460
2017-04-25;1477
2017-04-26;1510
2017-04-27;1507
2017-04-28;1497
2017-05-01;1499
2017-05-02;1538
2017-05-08;1555
2017-05-09;1555
2017-05-10;1553
2017-05-11;1535
2017-05-12;1560
2017-05-15;1440
2017-05-16;1435
2017-05-17;1431
2017-05-18;1420
2017-05-19;1422
2017-05-22;1387
2017-05-23;1374
2017-05-24;1388
2017-05-25;1401
2017-05-26;1422
2017-05-29;1413
2017-05-30;1423
2017-05-31;1405
2017-06-01;1440
2017-06-02;1439
2017-06-05;1421
2017-06-06;1403
2017-06-07;1422
2017-06-08;1420
2017-06-09;1421
2017-06-12;1427
2017-06-13;1467
2017-06-14;1443
2017-06-15;1449
2017-06-16;1465
2017-06-19;1484
2017-06-20;1492
2017-06-21;1454
2017-06-22;1469
2017-06-23;1484
2017-06-26;1487
2017-06-27;1490
2017-06-28;1475
2017-06-29;1499
2017-06-30;1512
2017-07-03;1506
2017-07-04;1507
2017-07-05;1524
2017-07-06;1532
2017-07-07;1500
2017-07-10;1516
2017-07-11;1450
2017-07-12;1447
2017-07-13;1451
2017-07-14;1471
2017-07-17;1471
2017-07-18;1459
2017-07-19;1461
2017-07-20;1470
2017-07-21;1459
2017-07-24;1441
2017-07-25;1439
2017-07-26;1459
2017-07-27;1484
2017-07-28;1477
2017-07-31;1487
2017-08-01;1488
2017-08-02;1487
2017-08-03;1493
2017-08-04;1434
2017-08-07;1462
2017-08-08;1468
2017-08-09;1452
2017-08-10;1460
2017-08-11;1460
2017-08-14;1422
2017-08-15;1434
2017-08-16;1448
2017-08-17;1459
2017-08-18;1443
2017-08-21;1452
2017-08-22;1459
2017-08-23;1472
2017-08-24;1544
2017-08-25;1538
2017-08-28;1568
2017-08-29;1556
2017-08-30;1573
2017-08-31;1580
2017-09-01;1573
2017-09-04;1541
2017-09-05;1501
2017-09-06;1497
2017-09-07;1525
2017-09-08;1506
2017-09-11;1519
2017-09-12;1532
2017-09-13;1529
2017-09-14;1515
2017-09-15;1501
2017-09-18;1501
2017-09-19;1507
2017-09-20;1486
2017-09-21;1509
2017-09-22;1504
2017-09-25;1518
2017-09-26;1527
2017-09-27;1531
2017-09-28;1546
2017-09-29;1572
2017-10-02;1581
2017-10-03;1582
2017-10-04;1574
2017-10-05;1600
2017-10-06;1590
2017-10-09;1590
2017-10-10;1617
2017-10-11;1620
2017-10-12;1640
2017-10-13;1628
2017-10-16;1627
2017-10-17;1605
2017-10-18;1621
2017-10-19;1618
2017-10-20;1633
2017-10-23;1627
2017-10-24;1649
2017-10-25;1613
2017-10-26;1599
2017-10-27;1616
2017-10-30;1612
2017-10-31;1589
2017-11-01;1626
2017-11-02;1627
2017-11-03;1627
2017-11-06;1476
2017-11-07;1465
2017-11-08;1470
2017-11-09;1455
2017-11-10;1459
2017-11-13;1442
2017-11-14;1433
2017-11-15;1378
2017-11-16;1394
2017-11-17;1383
2017-11-20;1377
2017-11-21;1367
2017-11-22;1363
2017-11-23;1363
2017-11-24;1344
2017-11-27;1324
2017-11-28;1325
2017-11-29;1338
2017-11-30;1358
2017-12-01;1340
2017-12-04;1330
2017-12-05;1355
2017-12-06;1381
2017-12-07;1360
2017-12-08;1401
2017-12-11;1398
2017-12-12;1393
2017-12-13;1394
2017-12-14;1395
2017-12-15;1397
2017-12-18;1393
2017-12-19;1394
2017-12-20;1391
2017-12-21;1387
2017-12-22;1397
2017-12-25;1381
2017-12-26;1386
2017-12-27;1398
2017-12-28;1392
2017-12-29;1398
2018-01-01;1398
2018-01-02;1398
2018-01-03;1398
2018-01-04;1410
2018-01-05;1423
2018-01-08;1423
2018-01-09;1426
2018-01-10;1427
2018-01-11;1456
2018-01-12;1441
2018-01-15;1435
2018-01-16;1442
2018-01-17;1437
2018-01-18;1415
2018-01-19;1421
2018-01-22;1429
2018-01-23;1450
2018-01-24;1455
2018-01-25;1453
2018-01-26;1463
2018-01-29;1458
2018-01-30;1512
2018-01-31;1523
2018-02-01;1501
2018-02-02;1493
2018-02-05;1449
2018-02-06;1352
2018-02-07;1479
2018-02-08;1550
2018-02-09;1564
2018-02-12;1564
2018-02-13;1568
2018-02-14;1543
2018-02-15;1559
2018-02-16;1555
2018-02-19;1591
2018-02-20;1564
2018-02-21;1572
2018-02-22;1570
2018-02-23;1579
2018-02-26;1593
2018-02-27;1555
2018-02-28;1559
2018-03-01;1566
2018-03-02;1556
2018-03-05;1568
2018-03-06;1592
2018-03-07;1581
2018-03-08;1608
2018-03-09;1623
2018-03-12;1643
2018-03-13;1645
2018-03-14;1621
2018-03-15;1647
2018-03-16;1674
2018-03-19;1666
2018-03-20;1672
2018-03-21;1672
2018-03-22;1682
2018-03-23;1648
2018-03-26;1667
2018-03-27;1683
2018-03-28;1684
2018-03-29;1705
2018-03-30;1685
2018-04-02;1660
2018-04-03;1647
2018-04-04;1667
