"Date" "WIG20" "DAX" "DJI" "ACWI"
"1" "2008-03-28" 2977.82 6559.9 12216.4 43.237
"2" "2008-03-31" 2981.07 6534.97 12262.9 42.568
"3" "2008-04-01" 3028.85 6720.33 12654.4 43.714
"4" "2008-04-02" 3013.53 6777.44 12605.8 44.196
"5" "2008-04-03" 2985.91 6741.72 12626 44.446
"6" "2008-04-04" 3025.98 6763.39 12609.4 44.421
"7" "2008-04-07" 3050.49 6821.03 12612.4 44.679
"8" "2008-04-08" 3001.62 6771.98 12576.4 44.955
"9" "2008-04-09" 3023.92 6721.36 12527.2 44.12
"10" "2008-04-10" 2988.72 6704.32 12582 44.12
"11" "2008-04-11" 2892.63 6603.57 12325.4 43.421
"12" "2008-04-14" 2873.15 6554.49 12302 43.591
"13" "2008-04-15" 2912.18 6585.05 12362.5 43.714
"14" "2008-04-16" 2928.69 6702.84 12619.3 44.307
"15" "2008-04-17" 2922.7 6681.81 12620.5 44.904
"16" "2008-04-18" 2971.63 6843.08 12849.4 45.395
"17" "2008-04-21" 2940.33 6786.55 12825 45.603
"18" "2008-04-22" 2902.05 6728.3 12720.2 45.189
"19" "2008-04-23" 2837.53 6795.03 12763.2 45.302
"20" "2008-04-24" 2885.22 6821.32 12849 45.318
"21" "2008-04-25" 2897.2 6896.58 12891.9 45.5
"22" "2008-04-28" 2938.65 6925.33 12871.8 45.871
"23" "2008-04-29" 2884.58 6885.34 12831.9 45.345
"24" "2008-04-30" 2922.59 6948.82 12820.1 45.957
"27" "2008-05-05" 2979.09 7052.08 12969.5 46.234
"28" "2008-05-06" 2984.34 7017.1 13020.8 46.544
"29" "2008-05-07" 3043.52 7076.25 12814.3 45.767
"30" "2008-05-08" 3006.15 7071.9 12866.8 45.921
"31" "2008-05-09" 2998.59 7003.17 12745.9 45.724
"32" "2008-05-12" 3032.95 7035.95 12876.3 46.19
"33" "2008-05-13" 3024.03 7060.19 12832.2 46.243
"34" "2008-05-14" 3056.51 7083.24 12898.4 46.347
"35" "2008-05-15" 3016.91 7081.05 12992.7 46.839
"36" "2008-05-16" 3032.89 7156.55 12986.8 47.235
"37" "2008-05-19" 2995.52 7225.94 13028.2 47.219
"38" "2008-05-20" 2944.56 7118.5 12828.7 46.753
"39" "2008-05-21" 2947.47 7040.83 12601.2 46.433
"41" "2008-05-23" 2908.59 6944.05 12479.6 45.777
"43" "2008-05-27" 2909.46 6958.66 12548.3 46.13
"44" "2008-05-28" 2933.31 7033.84 12594 46.122
"45" "2008-05-29" 2906.13 7055.03 12646.2 46.406
"46" "2008-05-30" 2905.28 7096.79 12638.3 46.354
"47" "2008-06-02" 2892.23 7008.77 12503.8 45.999
"48" "2008-06-03" 2921.5 7019.13 12402.8 45.889
"49" "2008-06-04" 2862.27 6965.43 12390.5 45.423
"50" "2008-06-05" 2888.99 6941.83 12604.5 46.397
"51" "2008-06-06" 2864.57 6803.81 12209.8 45.172
"52" "2008-06-09" 2812.83 6815.63 12280.3 44.897
"53" "2008-06-10" 2733.42 6771.1 12289.8 44.455
"54" "2008-06-11" 2672.65 6650.26 12083.8 43.922
"55" "2008-06-12" 2718.08 6714.52 12141.6 43.947
"56" "2008-06-13" 2729.32 6765.32 12307.3 44.25
"57" "2008-06-16" 2697.54 6729.88 12269.1 44.541
"58" "2008-06-17" 2716.08 6796.16 12160.3 44.532
"59" "2008-06-18" 2674.97 6728.91 12029 44.213
"60" "2008-06-19" 2713.72 6721.17 12063.1 43.628
"61" "2008-06-20" 2686.78 6578.44 11842.7 43.317
"62" "2008-06-23" 2633.97 6589.46 11842.4 43.462
"63" "2008-06-24" 2637.24 6536.06 11807.4 43.032
"64" "2008-06-25" 2646.18 6617.84 11811.8 43.498
"65" "2008-06-26" 2662.89 6459.6 11453.4 42.411
"66" "2008-06-27" 2598.81 6421.91 11346.5 42.488
