Date;Close
2008-03-28;43,237
2008-03-31;42,568
2008-04-01;43,714
2008-04-02;44,196
2008-04-03;44,446
2008-04-04;44,421
2008-04-07;44,679
2008-04-08;44,955
2008-04-09;44,12
2008-04-10;44,12
2008-04-11;43,421
2008-04-14;43,591
2008-04-15;43,714
2008-04-16;44,307
2008-04-17;44,904
2008-04-18;45,395
2008-04-21;45,603
2008-04-22;45,189
2008-04-23;45,302
2008-04-24;45,318
2008-04-25;45,5
2008-04-28;45,871
2008-04-29;45,345
2008-04-30;45,957
2008-05-01;45,819
2008-05-02;46,105
2008-05-05;46,234
2008-05-06;46,544
2008-05-07;45,767
2008-05-08;45,921
2008-05-09;45,724
2008-05-12;46,19
2008-05-13;46,243
2008-05-14;46,347
2008-05-15;46,839
2008-05-16;47,235
2008-05-19;47,219
2008-05-20;46,753
2008-05-21;46,433
2008-05-22;46,501
2008-05-23;45,777
2008-05-27;46,13
2008-05-28;46,122
2008-05-29;46,406
2008-05-30;46,354
2008-06-02;45,999
2008-06-03;45,889
2008-06-04;45,423
2008-06-05;46,397
2008-06-06;45,172
2008-06-09;44,897
2008-06-10;44,455
2008-06-11;43,922
2008-06-12;43,947
2008-06-13;44,25
2008-06-16;44,541
2008-06-17;44,532
2008-06-18;44,213
2008-06-19;43,628
2008-06-20;43,317
2008-06-23;43,462
2008-06-24;43,032
2008-06-25;43,498
2008-06-26;42,411
2008-06-27;42,488
2008-06-30;42,654
2008-07-01;42,326
2008-07-02;41,659
2008-07-03;41,488
2008-07-07;41,649
2008-07-08;41,529
2008-07-09;41,434
2008-07-10;41,296
2008-07-11;40,995
2008-07-14;40,831
2008-07-15;40,407
2008-07-16;40,797
2008-07-17;41,34
2008-07-18;41,374
2008-07-21;41,556
2008-07-22;41,537
2008-07-23;42,099
2008-07-24;41,208
2008-07-25;41,2
2008-07-28;40,711
2008-07-29;41,169
2008-07-30;41,409
2008-07-31;41,305
2008-08-01;40,822
2008-08-04;40,407
2008-08-05;41,065
2008-08-06;41,529
2008-08-07;40,735
2008-08-08;41,193
2008-08-11;41,255
2008-08-12;40,935
2008-08-13;40,735
2008-08-14;40,771
2008-08-15;40,607
2008-08-18;40,236
2008-08-19;39,735
2008-08-20;39,968
2008-08-21;40,373
2008-08-22;40,512
2008-08-25;39,831
2008-08-26;40,018
2008-08-27;40,305
2008-08-28;40,804
2008-08-29;40,616
2008-09-02;40,063
2008-09-03;39,511
2008-09-04;38,465
2008-09-05;38,32
2008-09-08;38,734
2008-09-09;37,619
2008-09-10;38,181
2008-09-11;38,153
2008-09-12;38,605
2008-09-15;36,782
2008-09-16;37,052
2008-09-17;35,454
2008-09-18;36,853
2008-09-19;38,906
2008-09-22;38,076
2008-09-23;37,257
2008-09-24;37,24
2008-09-25;38,121
2008-09-26;37,922
2008-09-29;34,374
2008-09-30;35,636
2008-10-01;35,782
2008-10-02;34,279
2008-10-03;33,659
2008-10-06;31,933
2008-10-07;30,509
2008-10-08;29,852
2008-10-09;27,996
2008-10-10;27,392
2008-10-13;30,793
2008-10-14;30,595
2008-10-15;27,677
2008-10-16;28,749
2008-10-17;28,293
2008-10-20;29,922
2008-10-21;28,645
2008-10-22;26,556
2008-10-23;26,721
2008-10-24;25,556
2008-10-27;24,329
2008-10-28;26,927
2008-10-29;27,366
2008-10-30;28,662
2008-10-31;29,074
2008-11-03;28,913
2008-11-04;30,472
2008-11-05;28,867
2008-11-06;26,98
2008-11-07;28,316
2008-11-10;28,022
2008-11-11;27,297
2008-11-12;25,805
2008-11-13;27,617
2008-11-14;26,185
2008-11-17;25,892
2008-11-18;25,651
2008-11-19;24,277
2008-11-20;22,672
2008-11-21;24,019
2008-11-24;25,77
2008-11-25;25,805
2008-11-26;26,445
2008-11-28;26,531
2008-12-01;24,287
2008-12-02;25,462
2008-12-03;25,742
2008-12-04;25,278
2008-12-05;25,701
2008-12-08;26,738
2008-12-09;26,419
2008-12-10;27,142
2008-12-11;26,866
2008-12-12;27,031
2008-12-15;26,885
2008-12-16;28,411
2008-12-17;28,265
2008-12-18;27,256
2008-12-19;27,288
2008-12-22;26,876
2008-12-23;26,513
2008-12-24;26,712
2008-12-26;26,91
2008-12-29;26,746
2008-12-30;27,548
2008-12-31;27,98
2009-01-02;28,594
2009-01-05;28,463
2009-01-06;28,827
2009-01-07;28,032
2009-01-08;28,051
2009-01-09;27,324
2009-01-12;26,694
2009-01-13;26,428
2009-01-14;25,538
2009-01-15;25,665
2009-01-16;25,875
2009-01-20;24,137
2009-01-21;25,209
2009-01-22;24,623
2009-01-23;24,735
2009-01-26;25,046
