Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,41.184,41.243,40.504,40.874,450784
2015-01-05,40.664,41.024,39.863,40.201,1023556
2015-01-07,40.005,42.382,40.005,42.044,2713551
2015-01-08,42.094,43.188,41.826,43.188,1077428
2015-01-09,43.02,43.686,42.599,43.163,1145948
2015-01-12,42.961,43.332,42.348,43.316,496756
2015-01-13,43.188,43.736,43.18,43.736,1090929
2015-01-14,43.693,43.693,42.55,43.105,1374599
2015-01-15,43.601,43.686,41.437,41.564,1604188
2015-01-16,41.673,42.675,41.009,42.482,1257111
2015-01-19,42.482,42.735,41.462,42.415,881642
2015-01-20,42.634,43.889,42.423,42.936,921469
2015-01-21,43.155,44.62,43.147,44.62,1307664
2015-01-22,44.62,45.369,44.342,44.377,884465
2015-01-23,43.736,44.922,43.356,44.881,1383523
2015-01-26,44.704,44.704,43.787,44.115,730808
2015-01-27,44.156,45.672,44.156,45.42,1630632
2015-01-28,45.462,45.462,44.442,44.442,932296
2015-01-29,44.325,46.514,44.325,46.472,1628757
2015-01-30,46.303,47.011,45.47,46.178,1475345
2015-02-02,45.975,47.053,44.377,44.442,1625906
2015-02-03,44.695,45.883,44.477,45.883,1513205
2015-02-04,45.883,46.514,45.571,46.245,1218922
2015-02-05,45.782,46.708,45.462,45.798,2080215
2015-02-06,45.588,46.633,45.588,46.633,1260610
2015-02-09,46.463,46.463,45.907,46.303,919839
2015-02-10,46.252,46.639,45.95,46.337,933648
2015-02-11,46.303,46.531,45.478,45.731,1187833
2015-02-12,47.095,47.146,46.094,47.095,1221773
2015-02-13,46.977,47.567,46.735,47.473,1707583
2015-02-16,47.39,47.557,47.279,47.524,1177913
2015-02-17,47.516,47.726,47.347,47.567,827528
2015-02-18,47.735,47.735,46.649,46.649,1397074
2015-02-19,46.767,46.926,45.631,45.758,1395702
2015-02-20,45.714,46.303,45.505,46.303,738731
2015-02-23,46.347,47.617,46.347,47.567,1871649
2015-02-24,47.356,47.608,47.171,47.481,1360113
2015-02-25,47.314,47.541,46.658,46.893,2245956
2015-02-26,46.775,46.936,46.437,46.6,585081
2015-02-27,46.378,46.6,45.555,45.975,974911
2015-03-02,46.042,46.725,45.631,46.725,1339093
2015-03-03,46.437,46.876,45.84,46.068,2180838
2015-03-04,46.219,46.725,45.319,45.907,912168
2015-03-05,45.958,46.792,45.958,46.639,1062349
2015-03-06,46.388,47.061,46.252,47.061,776147
2015-03-09,47.978,47.978,46.683,47.567,1113070
2015-03-10,47.339,47.473,46.403,46.523,1020935
2015-03-11,46.328,46.624,45.309,45.621,1119853
2015-03-12,45.639,46.135,45.353,45.478,2160492
2015-03-13,45.386,45.555,44.156,44.367,1143568
2015-03-16,44.232,45.294,44.232,44.62,743786
2015-03-17,44.62,46.169,44.62,45.891,2047182
2015-03-18,45.891,47.356,45.883,47.146,2265325
2015-03-19,47.146,47.709,46.91,47.524,2050673
2015-03-20,47.507,47.988,47.423,47.988,3054415
2015-03-23,48.039,48.089,47.582,47.988,507156
2015-03-24,47.777,48.409,47.777,48.409,1835877
2015-03-25,48.409,49.747,48.409,49.747,979158
2015-03-26,49.343,49.343,48.427,48.83,1241122
2015-03-27,48.83,49.924,48.585,48.931,980897
2015-03-30,48.964,50.168,48.964,49.714,839730
2015-03-31,49.571,49.924,49.377,49.882,980949
2015-04-01,49.334,50.16,49.334,49.377,739635
2015-04-02,49.536,50.849,49.418,50.809,735963
2015-04-07,50.809,52.449,50.639,51.566,1278814
2015-04-08,51.531,52.988,51.507,51.776,1466940
2015-04-09,51.733,53.409,51.733,53.299,1426883
2015-04-10,53.459,53.838,52.652,53.037,996959
2015-04-13,52.829,53.157,52.676,53.123,793145
2015-04-14,52.896,53.67,52.896,53.67,1290995
2015-04-15,53.662,54.546,52.112,52.887,1376259
2015-04-16,52.795,52.862,50.892,51.531,1993354
2015-04-17,51.305,52.172,50.513,50.513,1962136
2015-04-20,51.262,52.829,50.849,52.499,2008171
2015-04-21,53.037,53.459,52.441,53.459,1600077
2015-04-22,53.409,55.128,53.333,55.017,1922558
2015-04-23,55.305,55.776,53.754,54.739,1928376
2015-04-24,54.806,56.548,54.639,55.984,1895661
2015-04-27,56.003,58.815,55.984,58.342,2235933
2015-04-28,58.376,59.016,57.693,58.722,2018255
2015-04-29,58.722,58.949,56.717,56.911,1488442
2015-04-30,56.819,58.4,56.247,57.653,1840964
2015-05-04,58.006,58.931,58.006,58.756,1168065
2015-05-05,58.604,58.806,57.138,57.215,1657409
2015-05-06,57.215,57.669,55.161,55.564,2224832
2015-05-07,55.556,56.028,54.41,55.902,1859061
2015-05-08,55.649,57.687,55.607,57.248,1723617
2015-05-11,57.248,58.881,56.794,58.762,1828319
2015-05-12,58.762,58.916,57.519,58.762,1418993
2015-05-13,58.646,59.494,57.762,58.435,2131835
2015-05-14,58.41,58.672,56.617,56.768,1101490
2015-05-15,56.826,58.006,56.826,57.626,763646
2015-05-18,57.93,58.916,57.728,58.595,856956
2015-05-19,58.679,61.668,58.638,61.668,2141483
2015-05-20,61.171,62.039,60.557,61.877,1467639
2015-05-21,61.852,61.921,60.75,61.035,646405
2015-05-22,60.817,60.885,59.42,60.658,883848
2015-05-25,60.135,60.616,58.788,59.353,560136
2015-05-26,59.1,60.262,59.032,60.236,708663
2015-05-27,60.027,61.373,59.858,61.373,1144552
2015-05-28,61.272,61.685,60.743,61.204,763527
2015-05-29,61.146,61.668,59.48,59.48,2474670
2015-06-01,59.48,61.035,59.48,59.724,1109699
2015-06-02,59.941,60.447,58.848,59.749,1434749
2015-06-03,60.195,60.432,59.639,59.774,2369977
2015-06-05,59.774,59.841,59.032,59.074,2507893
2015-06-08,59.126,59.604,58.089,58.41,895250
2015-06-09,58.258,58.722,58.184,58.342,816546
2015-06-10,58.342,58.577,56.995,57.248,1375865
2015-06-11,57.585,58.822,57.568,58.452,981537
2015-06-12,58.367,58.762,57.77,57.921,531362
2015-06-15,58.266,59.509,57.792,58.414,767244
2015-06-16,58.155,59.431,58.007,58.956,790431
2015-06-17,58.792,59.414,58.068,58.353,1417728
2015-06-18,58.223,60.682,57.879,60.51,787637
2015-06-19,60.156,62.062,60.156,60.854,2381176
2015-06-22,61.2,62.899,61.157,62.597,877065
2015-06-23,62.786,63.745,62.485,62.485,791454
2015-06-24,62.578,63.037,62.165,62.537,811044
2015-06-25,62.277,63.227,62.191,62.226,1515690
2015-06-26,62.277,63.581,62.277,62.968,1110724
2015-06-29,60.381,63.098,60.121,62.105,707808
2015-06-30,62.113,63.977,62.113,63.683,1937418
2015-07-01,63.683,63.683,60.898,60.898,1309690
2015-07-02,61.242,61.725,60.441,61.371,1117280
2015-07-03,61.371,61.44,60.811,61.2,376330
2015-07-06,60.562,61.975,60.562,61.596,744157
2015-07-07,61.51,63.062,61.269,61.32,1563448
2015-07-08,61.286,63.545,61.286,62.002,2039683
2015-07-09,62.191,63.312,61.803,62.105,1318224
2015-07-10,62.968,62.968,62.329,62.804,651649
2015-07-13,62.968,63.338,62.623,63.037,379784
2015-07-14,63.037,64.132,62.968,63.648,1422468
2015-07-15,63.796,63.831,62.838,63.312,878690
2015-07-16,63.46,63.657,62.83,62.968,1731189
2015-07-17,63.046,63.295,62.578,62.751,2049366
2015-07-20,62.977,65.641,62.977,64.994,1780851
2015-07-21,65.555,68.29,65.391,68.065,2427056
2015-07-22,68.142,68.616,66.599,67.799,3165130
2015-07-23,63.831,65.815,62.691,64.692,4036584
2015-07-24,64.692,67.177,64.296,66.522,2227904
2015-07-27,67.228,67.574,65.815,65.987,1570636
2015-07-28,65.727,66.556,64.529,64.65,2093057
2015-07-29,64.865,66.418,64.348,66.332,1580356
2015-07-30,66.332,66.418,65.124,65.124,2006828
2015-07-31,65.555,66.185,64.375,65.676,2658202
2015-08-03,65.073,66.418,64.692,65.384,1208989
2015-08-04,64.986,66.427,64.83,66.418,1427811
2015-08-05,66.47,68.79,66.47,68.306,2500874
2015-08-06,67.712,71.127,67.712,70.868,2005223
2015-08-07,70.645,72.008,69.997,71.68,1708669
2015-08-10,71.688,72.155,71.188,71.636,903800
