Kurs otwarcia;Kurs maksymalny;Kurs minimalny;Kurs zamkniecia
1862,90;1873,00;1832,70;1852,90
1818,30;1818,30;1784,10;1796,60
1739,00;1787,10;1739,00;1777,00
1776,20;1835,60;1765,00;1832,10
1867,00;1946,40;1867,00;1933,20
1968,80;2041,90;1968,80;2000,80
1977,40;1990,90;1946,70;1974,90
1940,50;1964,30;1940,50;1961,30
1979,80;2038,70;1979,80;2032,90
2041,10;2041,10;1981,10;2010,50
2001,50;2028,30;1994,40;2027,00
2032,30;2048,50;1975,10;1982,60
1953,60;1971,90;1940,40;1971,90
1985,80;2002,10;1954,90;1995,20
1975,00;2003,00;1975,00;2003,00
1982,30;1982,30;1928,20;1933,10
1898,60;1898,60;1839,40;1873,70
1896,10;1924,00;1896,10;1914,10
1910,00;1951,30;1910,00;1951,30
1945,70;1971,30;1914,50;1938,50
1909,10;1920,20;1900,10;1910,10
1947,40;1976,50;1932,90;1946,30
1955,10;1985,30;1945,80;1981,30
2017,10;2112,20;2017,10;2109,00
2128,50;2158,50;2070,80;2096,80
2110,50;2154,20;2080,50;2142,10
2152,80;2205,80;2151,90;2205,80
2236,20;2317,40;2185,70;2198,60
2142,60;2189,30;2140,60;2170,60
2197,90;2200,20;2118,90;2132,80
2090,90;2150,70;2084,80;2146,50
2186,60;2187,80;2150,90;2155,60
2198,20;2198,20;2142,00;2157,90
2152,00;2225,60;2150,30;2221,80
2238,40;2280,30;2238,40;2264,30
2192,10;2258,30;2192,10;2242,40
2262,40;2336,60;2262,40;2333,60
2344,20;2427,20;2332,00;2344,20
2384,00;2436,30;2355,80;2426,60
2422,70;2422,70;2323,30;2327,60
2274,70;2280,00;2180,40;2268,10
2300,30;2341,90;2282,20;2341,90
2360,50;2392,20;2335,60;2391,20
2394,70;2429,50;2349,00;2358,00
2341,10;2400,90;2341,10;2397,40
2418,90;2418,90;2376,70;2380,10
2345,50;2374,50;2312,00;2369,10
2310,00;2377,30;2310,00;2355,70
2395,10;2419,70;2377,10;2401,20
2452,00;2510,50;2452,00;2481,80
2437,60;2442,50;2305,50;2346,10
2395,10;2470,50;2395,10;2464,80
2370,20;2400,50;2355,10;2368,20
2400,80;2400,80;2343,80;2378,40
2468,10;2468,10;2377,40;2384,10
